Time,Bytes Per Second
3.2793941599999954,7854094
3.279440577999992,7854295
3.2794868959999945,7854497
3.279536804000003,7854689
3.279583871,7854889
3.2796305210000014,7855089
3.2796805790000008,7855282
3.279732366999994,7855470
3.279783434999999,7855660
3.2798301609999925,7855860
3.279876723000001,7856061
3.2799271559999994,7856252
3.279975090999997,7856449
3.280022063000004,7856649
3.2800688490000027,7856849
3.2801201030000016,7857039
3.280168594999992,7857235
3.2802151789999954,7857435
3.2802618899999914,7857636
3.2803121689999983,7857827
3.2803595599999937,7858026
3.2804059609999996,7858227
3.280456031,7858419
3.280507204999992,7858609
3.2805550960000005,7858806
3.280601645999994,7859007
3.2806483680000014,7859207
3.2806982209999944,7859400
3.280746163999993,7859597
3.280792883999993,7859797
3.2808390689999953,7859999
3.2808898389999968,7860189
3.2809371510000034,7860388
3.2809833289999943,7860589
3.281044940000001,7860754
3.2810930689999935,7860951
3.281138329000001,7861154
3.281182776999998,7861360
3.281227457,7861565
3.2812790529999916,7861753
3.2813250210000007,7861955
3.2813694080000033,7862161
3.2814143089999988,7862365
3.281462234000003,7862563
3.281508494999997,7862764
3.2815566249999932,7862961
3.281601479999992,7863165
3.281649520000002,7863362
3.2816957109999976,7863563
3.281740408999994,7863768
3.281785556999992,7863972
3.281833642999999,7864169
3.2818798269999974,7864370
3.2819248099999925,7864575
3.2819700109999985,7864778
3.2820180460000046,7864975
3.282063187999995,7865179
3.282108007000005,7865384
3.2821529459999965,7865588
3.2822141639999955,7865753
3.282339933000003,7865764
3.2824190930000015,7865886
3.282512799999992,7865973
3.2825999249999995,7866077
3.282706563000005,7866133
3.2828653569999915,7866064
3.2829553119999986,7866161
3.2830802569999946,7866173
3.283193397000005,7866214
3.2832561569999967,7866376
3.283337979999999,7866492
3.2834368219999988,7866567
3.2835433089999952,7866623
3.2836164929999967,7866760
3.2837033160000004,7866864
3.2838015069999926,7866940
3.2838604340000046,7867111
3.283903250999998,7867320
3.2839461229999927,7867529
3.284056466999999,7867577
3.2841567579999946,7867648
3.2842248040000044,7867797
3.2843672019999985,7867768
3.284463082000002,7867850
3.284510987999994,7868047
3.2845570759999987,7868248
3.2846031659999966,7868450
3.284652547999997,7868643
3.2846992700000044,7868843
3.2847453929999944,7869044
3.2847912169999915,7869246
3.2848450850000006,7869429
3.2848924049999937,7869627
3.284938389000004,7869829
3.2849850489999994,7870029
3.2850353679999955,7870220
3.2850825019999945,7870419
3.285142836999995,7870586
3.2851867990000017,7870792
3.2852351690000035,7870988
3.2852801049999982,7871192
3.2853238619999985,7871399
3.2853717369999913,7871596
3.285419220999998,7871794
3.2854645179999977,7871997
3.2855085730000013,7872203
3.285552471999992,7872409
3.285600262999992,7872607
3.285645396999996,7872810
3.2856894469999958,7873016
3.2857336779999997,7873222
3.2857810440000037,7873420
3.285826615000005,7873622
3.2858708889999946,7873828
3.285918480999996,7874026
3.2859668589999984,7874221
3.286011875,7874425
3.2860558719999915,7874631
3.286100302999998,7874836
3.2861483220000025,7875033
3.2861934900000023,7875236
3.2862375290000045,7875442
3.2862815350000005,7875649
3.286328900000001,7875847
3.2863740199999967,7876050
3.286418705999992,7876255
3.2864628720000013,7876460
3.2865101839999937,7876658
3.286556214000001,7876860
3.286600391999997,7877065
3.2866440429999955,7877272
3.286691665999996,7877470
3.2867399990000052,7877666
3.286785242999997,7877869
3.2868326509999974,7878067
3.286880776000004,7878263
3.2869261369999947,7878466
3.2869737329999964,7878663
3.287018816,7878866
3.287066405999994,7879064
3.2871117029999937,7879267
3.287187934000002,7879396
3.2872632999999922,7879527
3.2874277989999996,7879444
3.2875976269999967,7879348
3.2877032189999937,7879407
3.2877767869999985,7879542
3.287824540999992,7879739
3.2878690879999937,7879943
3.2879761909999985,7879998
3.288034202999995,7880171
3.2880807610000033,7880370
3.288125463,7880575
3.288168159999998,7880784
3.2882112380000024,7880992
3.2882574009999956,7881193
3.288301795999999,7881398
3.288345401000001,7881605
3.288389479999992,7881810
3.2884361520000027,7882010
3.2884839270000015,7882207
3.2885279589999925,7882413
3.2885710070000016,7882621
3.288617309000003,7882821
3.2886619949999982,7883025
3.2887158260000007,7883208
3.2887596340000016,7883414
3.288807019999993,7883612
3.2888513099999983,7883817
3.288943211000003,7883908
3.289028489000003,7884015
3.2891734060000033,7883979
3.289218532999996,7884182
3.2892623810000003,7884388
3.289305322000004,7884597
3.2893517360000004,7884797
3.2894022059999912,7884987
3.2895135729999936,7885032
3.2896031420000043,7885128
3.2897068289999964,7885191
3.289751249999995,7885396
3.2897946549999943,7885603
3.289837617999993,7885811
3.289889696000003,7885998
3.2899344439999965,7886202
3.289977867999994,7886409
3.290021002000003,7886617
3.2900675159999935,7886816
3.290111910999997,7887021
3.290155549000005,7887228
3.290198750000002,7887435
3.290245365000004,7887635
3.2902895510000008,7887840
3.290333031000003,7888047
3.290375894999997,7888256
